Artist Name,Date,Stage
KATSEYE,"July 30, 2026",Main Stage
beabadoobee,"July 30, 2026",Campfire Stage
ASHNIKKO,"July 30, 2026",Campfire Stage
AUDREY NUNA,"July 30, 2026",Campfire Stage
Oklou,"July 30, 2026",Campfire Stage
Jane Remover,"July 30, 2026",Campfire Stage
Frost Children,"July 30, 2026",Campfire Stage
Porch Light,"July 30, 2026",Campfire Stage
Nourished by Time,"July 30, 2026",Main Stage
Pixel Grip,"July 30, 2026",Main Stage
Lorde,"July 31, 2026",Main Stage
MUNA,"July 31, 2026",Campfire Stage
Snow Strippers,"July 31, 2026",Campfire Stage
Paris Paloma,"July 31, 2026",Campfire Stage
SOFIA ISELLA,"July 31, 2026",Campfire Stage
Wisp,"July 31, 2026",Campfire Stage
Saint Avangeline,"July 31, 2026",Campfire Stage
Between Friends,"July 31, 2026",Main Stage
Ninajirachi,"July 31, 2026",Main Stage
Mumford & Sons,"August 1, 2026",Main Stage
Jessie Murph,"August 1, 2026",Campfire Stage
The Format,"August 1, 2026",Campfire Stage
Santigold,"August 1, 2026",Campfire Stage
CMAT,"August 1, 2026",Campfire Stage
Julia Wolf,"August 1, 2026",Campfire Stage
Waylon Wyatt,"August 1, 2026",Campfire Stage
Amble,"August 1, 2026",Campfire Stage
The Brook & The Bluff,"August 1, 2026",Main Stage
Buffalo Traffic Jam,"August 1, 2026",Main Stage
Kali Uchis,"August 2, 2026",Main Stage
Young Miko,"August 2, 2026",Campfire Stage
Geese,"August 2, 2026",Campfire Stage
Wet Leg,"August 2, 2026",Campfire Stage
Suki Waterhouse,"August 2, 2026",Campfire Stage
Audrey Hobert,"August 2, 2026",Campfire Stage
Samia,"August 2, 2026",Campfire Stage
Haute & Freddy,"August 2, 2026",Campfire Stage
Die Spitz,"August 2, 2026",Main Stage
Gouge Away,"August 2, 2026",Main Stage
